KommentarId,QuellenId,Plattform,Datum,Length,KommentarDEU
70475705,2,ZeitOnline,20240620063152,720,"Da ja die direkten Artikel hinter der Paywall sind, kommentiere ich halt hier.Gündoğan: Eindeutig ein Faktor, eindeutig sein bestes Spiel für die NM. Der besserwisserischen These von Herrn Fritsch, die meisten Deutschen sein nicht in der Lage Gündoğan Fähigkeit zu erkennen, möchte ich allerdings widersprechen.Er war bislang meist ein Fremdkörper in der NM, da kann man streiten ob es an Gündoğan liegt oder alle andern zu unfähig sind, der Punkt ist aber man muss sich dann nach allen anderen richten. Von daher hätte ich, von meiner Couch aus, Gündoğan wohl auch aussortiert, was Matthäus wohl auch gesagt hat.Das er nun doch sein Platz im Team gefunden hat, ist sehr erfreulich und geht auf das Konto von Nagelsmann."
70475472,2,ZeitOnline,20240620061713,220,"Neuer wird gerade wieder in den Himmel gehoben. Was mir bei ihm auffällt, was man bei ihm früher nicht so beobachten konnte, dass er Bälle nach vorne abklatscht. Auch gestern wieder. Zum Glück stand der Ungar im Abseits."
70474831,2,ZeitOnline,20240620052607,180,"Ich verstehe nicht, weshalb Neuer so gelobt wird. Beim Abseitstor lies er den Ball abprallen und der ungarische Spieler schoss ihn dann ins Tor. Souverän wirkte das auf mich nicht."
70474595,2,ZeitOnline,20240620050105,960,"Wenn man manche Kommentare hier so liest... Also, ich möchte mich vorab entschuldigen weil ich z. B. die Fähigkeit von Nagelsmann, sich um 180 Grad zu drehen, nicht für möglich gehalten hätte. Oder ich mich freue, dass dadurch eine Einheit entstanden ist, die sehr reif und attraktiv spielen kann. Selbstredend nicht über 90 Minuten, die Anderen können auch was. Oder dass Neuer beweist, dass er ein Turnierspieler ist und ich überzeugt bin, dass ers sich sogar noch steigern wird. Oder dass ich gut finde, dass wir so eine bunte Truppe haben und verdammt, ja, auch die Trikots finde ich gar nicht mehr so übel aufgrund des Alleinstellungsmerkmals und weil die rosa Sprenkel im Publikum auch witzig aussehen. Und wenn welche scheinbar übertrieben feiern, na und? Ist das nicht verständlich nach Corona und dem geisteskranken Tun des Russen? Also, von mir aus, hoch die Tassen, Fahne ans Auto, freuen, abfeiern das die Schwarte keacht, wer weiß was noch kommt! "
70474369,2,ZeitOnline,20240620041942,467,"Nach zwei Gruppenspielen schon für das Achtelfinale qualifiziert. Da kann man nicht meckern. Neuer hatte gestern mehrere sehr gute Aktionen. Nur Laien glauben, dass man solche Bälle festhalten kann. Unsicher wirkte er nur bei der Aktion gegen Adam kurz vor Schluss. Dennoch kein Grund abzuheben. Solche Spiele hätte Deutschland vor einem Jahr nicht gewonnen. Im Moment hat man auch das nötige Glück in entscheidenden Situationen, so z. B. auch beim 1:0 durch Musiala."
70473209,2,ZeitOnline,20240619213551,172,Die Pink Panthers. Für ein zweites Spiel der Nationalmannschaft war das aber sowas von souverän. Auf der anderen Seite und egal wie es kommt: Heute ist nicht alle Tage ....
70472464,2,ZeitOnline,20240619201419,87,Hier in Offenbach so gut wie keine Autocorsos? Bei Eich auch nichts? Finde Ich seltsam…
70472414,2,ZeitOnline,20240619200856,320,"Wir setzen uns in einer unterdurchschnittlichen Gruppe wohl souverän durch. Das ist aller Ehren wert. Wie weit wir mit unserer wackeligen Defensive und Wundertüte Neuer in den ko-Spielen kommen wird man sehen. Gegen Teams wie Dänemark sollte es noch reichen. Danach müssen wir kompakter werden, sonst wird's schwierig..."
70472400,2,ZeitOnline,20240619200739,52,"Wenn der erste, richtige Gegner kommt ist es vorbei."
70472348,2,ZeitOnline,20240619200338,251,Für die Neuer-Kritiker hier:Wer hat in der ersten Minute das 0:1 verhindert?Wer hat beim Freistoß von Szoboslay zweimal den Ausgleich verhindert?Wäre ter Stegen gegen den drei Zentner schweren Adam möglicherweise „fest gemauert in der Erde“ gestanden?
